cid	smiles	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino
4114	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	80	4	-0.4896787953846607	0.33582557794467166	0.33582557794467166	0.4896787953846607	216.19200000000004	4	0	2	1045.785007582857	-2.23	101.27365171634298	3	0	0	2	4	0	0	52.58	0	0	0	3	1	2	0	0	0	0.08333333333333333	0.9582171348968901	0.38230782894565424	0.0015935502673413613	0.2860418193026943	0.7368322883296561	0.05393941800542998	2.750022803521113	2.5478000000000005	58.80800000000002	16	178.28800000000004	0	237.70062882807815	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0
4133	COC(=O)C1=CC=CC=C1O	58	3	-0.5070528008609642	0.3411321188257538	0.3411321188257538	0.5070528008609642	152.14900000000006	3	1	3	523.950935167277	-1.51	75.55702268950655	1	0	0	0	3	1	0	46.53	0	0	0	1	1	0	0	0	0	0.125	0.9630192265977784	0.4086943882584287	0.003179367528870521	0.269432680280282	0.7342620797978126	0.02905118546757507	2.3757256100575734	1.1787999999999998	39.446300000000015	11	136.69600000000003	0	192.44742284515968	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0
4175	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CCCC(=O)O3)C	156	4	-0.46236333845849953	0.3084308049809095	0.3084308049809095	0.46236333845849953	388.54799999999943	4	0	10	2054.742900328848	-1.58	219.86529279913773	3	0	0	1	4	0	0	52.60000000000001	3	2	1	0	0	0	0	1	1	0.75	0.8211594330470842	0.09796403327915401	0.0003081717303185769	0.5706988571197522	0.8103569758581853	0.5724832390195619	3.7573853743952856	5.224700000000006	109.44800000000006	28	388.1680000000001	0	539.177864071821	7	0	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	6	0	0	0	0
4477	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O	108	8	-0.5071197044152095	0.2931307080227158	0.2931307080227158	0.5071197044152095	327.1229999999998	4	2	4	1039.3253930478827	-2.3099999999999996	140.0030565437766	2	1	0	0	6	2	0	92.47000000000001	0	0	0	2	2	0	0	0	0	0.0	0.9869322219944019	0.5944865658987548	0.0009245583059555338	0.161135933885625	0.838864066267758	3.071916642577217e-10	4.148842067109257	3.859500000000001	79.17640000000002	21	248.35200000000006	0	293.29279266863404	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4534	CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O	118	4	-0.5042598931275362	0.2932937828120761	0.2932937828120761	0.5042598931275362	302.36999999999955	4	4	11	1329.1118019189898	-2.36	161.11111705692548	2	0	0	0	4	4	0	80.92	0	0	0	2	2	0	0	0	0	0.3333333333333333	0.9959592639570544	0.7564955938002043	0.0017850404208209563	0.08980614977896753	0.9749045785437601	0.19188356158212438	4.556687529516677	3.5664000000000033	85.27920000000002	22	287.1120000000001	0	386.87649738097065	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4592	CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3	114	7	-0.3945440352417588	0.22636583155932258	0.22636583155932258	0.3945440352417588	298.3499999999997	7	3	8	1441.6605509221415	-2.6699999999999995	153.09421681036838	3	0	0	2	7	3	0	87.89	0	0	0	3	1	2	0	0	0	0.26666666666666666	0.9277349324829383	0.29540807095004645	0.00035535225783014284	0.37323972866092103	0.6336009873696647	0.03683977376630935	4.008324594444903	1.3795999999999997	85.64820000000003	22	271.59200000000004	0	382.3204058301773	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0
4684	C1=CC(=CC=C1O)Cl	42	2	-0.5079651858460357	0.29309208670526976	0.29309208670526976	0.5079651858460357	128.55799999999996	1	1	1	324.3632272522796	-0.69	59.64042585754097	1	0	0	0	1	1	0	20.23	0	0	0	1	1	0	0	0	0	0.0	0.9904809749141725	0.6437483337665186	0.010124677922529749	0.13764969427162033	0.8650106917523585	0.02741030006076914	2.1987285006493065	2.0456000000000008	33.1168	8	107.42400000000002	0	145.01335359519933	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4685	C1=CC(=CC=C1Cl)Cl	42	2	-0.08434269778179436	0.06389332211241945	0.06389332211241945	0.08434269778179436	147.00400000000002	0	0	0	231.81286524684438	-0.20000000000000007	63.65781757393158	1	0	0	0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.9946873149972164	0.7229641244492881	0.010199181602128413	0.10294243723376807	0.8970575627754396	4.458282224733672e-11	2.4108250444874497	2.9934000000000003	36.46200000000001	8	113.91200000000002	0	140.26198821641452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4788	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O	104	5	-0.5079666452403732	0.2931358463784797	0.2931358463784797	0.5079666452403732	274.2719999999997	5	4	8	1091.281836097293	-2.6900000000000004	134.9380488124369	2	0	0	0	5	4	0	97.99000000000001	0	0	0	2	2	0	0	0	0	0.13333333333333333	0.9899179397673513	0.6344716465292024	0.0014850239621348588	0.1416420577609727	0.8761206263524648	0.0514491133541268	3.9142487044632865	2.3245000000000013	72.1947	20	240.88000000000005	0	329.44214422379224	0	0	1	1	0	4	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4947	CCCOC(=O)C1=CC(=C(C(=C1)O)O)O	82	5	-0.5041437396005058	0.33790112273203604	0.33790112273203604	0.5041437396005058	212.20100000000008	5	3	7	699.2575910637556	-1.91	103.66859693961752	1	0	0	0	5	3	0	86.99000000000001	0	0	0	1	1	0	0	0	0	0.3	0.979937288246622	0.5192563203948822	0.0019158690232903449	0.1993060739261526	0.8206790518743955	0.07517794986833529	3.1983712575528003	1.3702	52.00990000000003	15	187.84000000000003	0	266.57256395345576	0	0	1	1	0	3	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0
5146	C1=CC=C(C(=C1)CO)O	48	2	-0.5075841090786101	0.2931099585674671	0.2931099585674671	0.5075841090786101	124.13899999999994	2	2	3	446.2352141093613	-1.02	64.79791725588258	1	0	0	0	2	2	0	40.46	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9456343290486195	0.3328822147294485	0.004168580005864627	0.3252317876911283	0.7060254255732826	0.06327964476312216	2.0641105235752604	0.8844999999999996	34.029599999999995	9	117.88800000000003	0	169.64255476815413	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	0	0
5564	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	88	5	-0.5042031316845323	0.29329494816516827	0.29329494816516827	0.5042031316845323	289.54499999999985	2	1	3	815.6170308425054	-1.0899999999999994	123.2275387472108	2	0	0	0	2	1	0	29.46	0	0	0	2	2	0	0	0	0	0.0	0.9923870962032781	0.6760297767582958	0.0016555479009072512	0.12315783080756813	0.8768484263079336	1.635187955592957e-05	3.853922854315564	5.144700000000002	69.65280000000001	17	217.52000000000004	0	259.5845302450321	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5793	C(C1C(C(C(C(O1)O)O)O)O)O	72	6	-0.39356651600294495	0.2134634098101127	0.2134634098101127	0.39356651600294495	180.1560000000001	6	5	6	468.1997760112523	-0.24000000000000002	85.93584172942023	1	0	0	1	6	5	0	110.38000000000001	1	0	1	0	0	0	0	1	1	1.0	0.751102950702543	0.06529698285064958	0.0015426827331703529	0.6601850933230266	0.7426574721825958	0.493264768779684	2.205191990695494	-3.2213999999999987	35.98599999999999	12	151.48000000000005	0	212.8597555645442	5	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0
5959	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	110	9	-0.3941232075520646	0.26894513302429995	0.26894513302429995	0.3941232075520646	323.1319999999998	5	3	8	919.9060588411145	-1.4099999999999997	140.9065168062935	1	1	0	0	7	3	0	112.70000000000002	0	0	0	1	1	0	0	0	0	0.36363636363636365	0.9566602359443044	0.36622328892340833	0.0006140451311412695	0.29120644388987643	0.8034179690816615	0.1577839966964488	3.8160866918461607	0.9089999999999998	72.5667	20	254.16800000000006	0	319.7646922645009	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	1
6032	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N	194	15	-0.3935672815104059	0.21084892981206776	0.21084892981206776	0.3935672815104059	484.5029999999996	15	11	17	1937.0153160376124	-0.6	240.94923635427324	3	0	0	2	15	15	0	282.60999999999996	3	1	2	0	0	0	1	2	3	1.0	0.9790832091749332	0.5134495505341964	0.0004744428292322861	0.20346024061647475	0.935654119881124	0.2750523529636496	4.625723987226018	-7.291399999999999	107.79220000000002	33	417.5120000000001	0	573.0601560838766	15	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	41	0	0	0	0
6047	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	76	5	-0.5042598930844389	0.32031552163797705	0.32031552163797705	0.5042598930844389	197.19000000000008	5	4	6	684.250868050857	-1.75	96.24114305703563	1	0	0	0	5	5	0	103.78	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.9869181963758925	0.5929440964213913	0.0031896563092317204	0.1612218150938493	0.904156735776475	0.17976657506656152	3.0344529148498913	0.05219999999999969	49.08680000000001	14	173.92000000000004	0	245.36953830170498	1	0	1	0	0	2	0	0	0	1	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
