acceptor	enzyme	reaction
4-hydroxyl-benzoic acid	At_75B1	1
4-hydroxyl-benzoic acid	At_75D1	0
4-hydroxyl-benzoic acid	At_74F1	0.5
4-hydroxyl-benzoic acid	At_74F2	1
4-hydroxyl-benzoic acid	At_74B1	0
4-hydroxyl-benzoic acid	At_76E5	0
4-hydroxyl-benzoic acid	At_76E4	0
4-hydroxyl-benzoic acid	At_76E1	0
4-hydroxyl-benzoic acid	At_76E2	0
4-hydroxyl-benzoic acid	At_76E12	0
4-hydroxyl-benzoic acid	At_76E11	0
4-hydroxyl-benzoic acid	At_76C4	0
4-hydroxyl-benzoic acid	At_85A5	0
4-hydroxyl-benzoic acid	At_85A4	0
4-hydroxyl-benzoic acid	At_78D2	1
4-hydroxyl-benzoic acid	At_78D1	0
4-hydroxyl-benzoic acid	VVGT1	0
a-cyano-4-hydroxyl-cinnamic acid	At_71C1	0
a-cyano-4-hydroxyl-cinnamic acid	At_71C2	0
a-cyano-4-hydroxyl-cinnamic acid	At_71C3	0
a-cyano-4-hydroxyl-cinnamic acid	At_71C4	0
a-cyano-4-hydroxyl-cinnamic acid	At_71C5	0
a-cyano-4-hydroxyl-cinnamic acid	At_71B8	0
a-cyano-4-hydroxyl-cinnamic acid	At_71B6	0
a-cyano-4-hydroxyl-cinnamic acid	At_71B5	0
a-cyano-4-hydroxyl-cinnamic acid	At_71B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_88A1	0
a-cyano-4-hydroxyl-cinnamic acid	At_72E2	0
a-cyano-4-hydroxyl-cinnamic acid	At_72E3	0
a-cyano-4-hydroxyl-cinnamic acid	At_72E1	0
a-cyano-4-hydroxyl-cinnamic acid	At_72D1	0
a-cyano-4-hydroxyl-cinnamic acid	At_72C1	0
a-cyano-4-hydroxyl-cinnamic acid	At_72B3	0
a-cyano-4-hydroxyl-cinnamic acid	At_72B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_73C3	0
a-cyano-4-hydroxyl-cinnamic acid	At_73C4	0
a-cyano-4-hydroxyl-cinnamic acid	At_73C5	0
a-cyano-4-hydroxyl-cinnamic acid	At_73C6	0
a-cyano-4-hydroxyl-cinnamic acid	At_73C1	0
a-cyano-4-hydroxyl-cinnamic acid	At_73B2	0
a-cyano-4-hydroxyl-cinnamic acid	At_73B3	0
a-cyano-4-hydroxyl-cinnamic acid	At_73B4	0
a-cyano-4-hydroxyl-cinnamic acid	At_73B5	0
a-cyano-4-hydroxyl-cinnamic acid	At_73B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_89B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_89C1	0
a-cyano-4-hydroxyl-cinnamic acid	At_84A3	0
a-cyano-4-hydroxyl-cinnamic acid	At_84A4	0
a-cyano-4-hydroxyl-cinnamic acid	At_84A2	0
a-cyano-4-hydroxyl-cinnamic acid	At_84A1	0.5
a-cyano-4-hydroxyl-cinnamic acid	At_84B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_84B2	0
a-cyano-4-hydroxyl-cinnamic acid	At_75B1	0.5
a-cyano-4-hydroxyl-cinnamic acid	At_75D1	0
a-cyano-4-hydroxyl-cinnamic acid	At_74F1	0
a-cyano-4-hydroxyl-cinnamic acid	At_74F2	0
a-cyano-4-hydroxyl-cinnamic acid	At_74B1	0
a-cyano-4-hydroxyl-cinnamic acid	At_76E4	0
a-cyano-4-hydroxyl-cinnamic acid	At_76E1	0
a-cyano-4-hydroxyl-cinnamic acid	At_76E2	0
a-cyano-4-hydroxyl-cinnamic acid	At_76E12	0
a-cyano-4-hydroxyl-cinnamic acid	At_76E11	0
a-cyano-4-hydroxyl-cinnamic acid	At_85A5	0
a-cyano-4-hydroxyl-cinnamic acid	At_85A4	0
a-cyano-4-hydroxyl-cinnamic acid	At_78D2	0
a-cyano-4-hydroxyl-cinnamic acid	At_78D1	0
a-cyano-4-hydroxyl-cinnamic acid	VVGT1	0
3,4-dichloroaniline	At_71C1	0
3,4-dichloroaniline	At_71C2	0
3,4-dichloroaniline	At_71C3	0
3,4-dichloroaniline	At_71C4	0
3,4-dichloroaniline	At_71C5	0
3,4-dichloroaniline	At_71B8	0
3,4-dichloroaniline	At_71B6	0.5
3,4-dichloroaniline	At_71B5	0
3,4-dichloroaniline	At_71B1	0
3,4-dichloroaniline	At_88A1	0
3,4-dichloroaniline	At_72E2	1
3,4-dichloroaniline	At_72E3	0
3,4-dichloroaniline	At_72E1	0
3,4-dichloroaniline	At_72D1	0
3,4-dichloroaniline	At_72C1	0
3,4-dichloroaniline	At_72B3	1
3,4-dichloroaniline	At_72B1	1
3,4-dichloroaniline	At_73C3	0
3,4-dichloroaniline	At_73C4	0
3,4-dichloroaniline	At_73C5	0
3,4-dichloroaniline	At_73C6	0
3,4-dichloroaniline	At_73C1	0
3,4-dichloroaniline	At_73C7	0
3,4-dichloroaniline	At_73B2	0
3,4-dichloroaniline	At_73B3	0
3,4-dichloroaniline	At_73B4	0
3,4-dichloroaniline	At_73B5	0
3,4-dichloroaniline	At_73B1	0
3,4-dichloroaniline	At_89B1	0
3,4-dichloroaniline	At_89C1	0
3,4-dichloroaniline	At_84A3	0
3,4-dichloroaniline	At_84A4	0
3,4-dichloroaniline	At_84A2	0
3,4-dichloroaniline	At_84A1	0
3,4-dichloroaniline	At_84B1	0
3,4-dichloroaniline	At_84B2	0
3,4-dichloroaniline	At_75B1	0
3,4-dichloroaniline	At_75D1	0
3,4-dichloroaniline	At_74F1	0
3,4-dichloroaniline	At_74F2	0
3,4-dichloroaniline	At_74B1	0
3,4-dichloroaniline	At_76E5	0
3,4-dichloroaniline	At_76E4	0
3,4-dichloroaniline	At_76E1	0
3,4-dichloroaniline	At_76E2	0
3,4-dichloroaniline	At_76E12	0
3,4-dichloroaniline	At_76E11	0
3,4-dichloroaniline	At_76C4	0
3,4-dichloroaniline	At_85A5	0
3,4-dichloroaniline	At_85A4	1
3,4-dichloroaniline	At_78D2	0
3,4-dichloroaniline	At_78D1	0
3,4-dichloroaniline	VVGT1	0
3,4-dihydroxylbenzoic acid	At_71C1	1
3,4-dihydroxylbenzoic acid	At_71C2	0.5
3,4-dihydroxylbenzoic acid	At_71C3	1
3,4-dihydroxylbenzoic acid	At_71C4	1
3,4-dihydroxylbenzoic acid	At_71C5	0.5
3,4-dihydroxylbenzoic acid	At_71B8	0
3,4-dihydroxylbenzoic acid	At_71B6	0
3,4-dihydroxylbenzoic acid	At_71B5	0
3,4-dihydroxylbenzoic acid	At_71B1	1
3,4-dihydroxylbenzoic acid	At_88A1	0
3,4-dihydroxylbenzoic acid	At_72E2	0.5
3,4-dihydroxylbenzoic acid	At_72E3	0.5
3,4-dihydroxylbenzoic acid	At_72E1	0.5
3,4-dihydroxylbenzoic acid	At_72D1	1
3,4-dihydroxylbenzoic acid	At_72C1	0
3,4-dihydroxylbenzoic acid	At_72B3	0.5
3,4-dihydroxylbenzoic acid	At_72B1	1
3,4-dihydroxylbenzoic acid	At_73C3	0
3,4-dihydroxylbenzoic acid	At_73C4	0
3,4-dihydroxylbenzoic acid	At_73C5	0
3,4-dihydroxylbenzoic acid	At_73C6	0
3,4-dihydroxylbenzoic acid	At_73C1	0.5
3,4-dihydroxylbenzoic acid	At_73C7	0
3,4-dihydroxylbenzoic acid	At_73B2	0
3,4-dihydroxylbenzoic acid	At_73B3	1
3,4-dihydroxylbenzoic acid	At_73B4	1
3,4-dihydroxylbenzoic acid	At_73B5	0
3,4-dihydroxylbenzoic acid	At_73B1	0
3,4-dihydroxylbenzoic acid	At_89B1	1
3,4-dihydroxylbenzoic acid	At_89C1	0
3,4-dihydroxylbenzoic acid	At_84A3	0
3,4-dihydroxylbenzoic acid	At_84A4	0
3,4-dihydroxylbenzoic acid	At_84A2	0
3,4-dihydroxylbenzoic acid	At_84A1	1
3,4-dihydroxylbenzoic acid	At_84B1	0
3,4-dihydroxylbenzoic acid	At_84B2	0.5
3,4-dihydroxylbenzoic acid	At_75B1	1
3,4-dihydroxylbenzoic acid	At_75D1	0
3,4-dihydroxylbenzoic acid	At_74F1	0.5
3,4-dihydroxylbenzoic acid	At_74F2	1
3,4-dihydroxylbenzoic acid	At_74B1	0
3,4-dihydroxylbenzoic acid	At_76E5	0
3,4-dihydroxylbenzoic acid	At_76E4	0
3,4-dihydroxylbenzoic acid	At_76E1	0.5
3,4-dihydroxylbenzoic acid	At_76E2	0
3,4-dihydroxylbenzoic acid	At_76E12	0
3,4-dihydroxylbenzoic acid	At_76E11	0
3,4-dihydroxylbenzoic acid	At_76C4	0
3,4-dihydroxylbenzoic acid	At_85A5	0.5
3,4-dihydroxylbenzoic acid	At_85A4	0
3,4-dihydroxylbenzoic acid	At_78D2	1
3,4-dihydroxylbenzoic acid	At_78D1	0
3,4-dihydroxylbenzoic acid	VVGT1	0.5
2,5-dihydroxylbenzoic acid	At_71C1	0.5
2,5-dihydroxylbenzoic acid	At_71C2	0.5
2,5-dihydroxylbenzoic acid	At_71C3	1
2,5-dihydroxylbenzoic acid	At_71C4	1
2,5-dihydroxylbenzoic acid	At_71C5	0.5
2,5-dihydroxylbenzoic acid	At_71B8	0
2,5-dihydroxylbenzoic acid	At_71B6	0
2,5-dihydroxylbenzoic acid	At_71B5	0
2,5-dihydroxylbenzoic acid	At_71B1	1
2,5-dihydroxylbenzoic acid	At_88A1	0
2,5-dihydroxylbenzoic acid	At_72E2	0.5
2,5-dihydroxylbenzoic acid	At_72E3	0.5
2,5-dihydroxylbenzoic acid	At_72E1	0
2,5-dihydroxylbenzoic acid	At_72D1	1
2,5-dihydroxylbenzoic acid	At_72C1	0
2,5-dihydroxylbenzoic acid	At_72B3	0.5
2,5-dihydroxylbenzoic acid	At_72B1	1
2,5-dihydroxylbenzoic acid	At_73C3	0
2,5-dihydroxylbenzoic acid	At_73C4	0
2,5-dihydroxylbenzoic acid	At_73C5	0
2,5-dihydroxylbenzoic acid	At_73C6	0
2,5-dihydroxylbenzoic acid	At_73C1	0.5
2,5-dihydroxylbenzoic acid	At_73C7	0
2,5-dihydroxylbenzoic acid	At_73B2	0
2,5-dihydroxylbenzoic acid	At_73B3	1
2,5-dihydroxylbenzoic acid	At_73B4	1
2,5-dihydroxylbenzoic acid	At_73B5	0
2,5-dihydroxylbenzoic acid	At_73B1	0
2,5-dihydroxylbenzoic acid	At_89B1	1
2,5-dihydroxylbenzoic acid	At_89C1	0
2,5-dihydroxylbenzoic acid	At_84A3	0
2,5-dihydroxylbenzoic acid	At_84A4	0
2,5-dihydroxylbenzoic acid	At_84A2	0
2,5-dihydroxylbenzoic acid	At_84A1	0.5
2,5-dihydroxylbenzoic acid	At_84B1	0
2,5-dihydroxylbenzoic acid	At_84B2	0
2,5-dihydroxylbenzoic acid	At_75B1	1
2,5-dihydroxylbenzoic acid	At_75D1	0
2,5-dihydroxylbenzoic acid	At_74F1	0.5
2,5-dihydroxylbenzoic acid	At_74F2	0
2,5-dihydroxylbenzoic acid	At_74B1	0
2,5-dihydroxylbenzoic acid	At_76E5	0
2,5-dihydroxylbenzoic acid	At_76E4	0.5
2,5-dihydroxylbenzoic acid	At_76E1	0
2,5-dihydroxylbenzoic acid	At_76E2	0
2,5-dihydroxylbenzoic acid	At_76E12	0
2,5-dihydroxylbenzoic acid	At_76E11	0
2,5-dihydroxylbenzoic acid	At_76C4	0
2,5-dihydroxylbenzoic acid	At_85A5	0.5
2,5-dihydroxylbenzoic acid	At_85A4	0
2,5-dihydroxylbenzoic acid	At_78D2	0
2,5-dihydroxylbenzoic acid	At_78D1	0
2,5-dihydroxylbenzoic acid	VVGT1	0
D-glycerate	At_71C1	0
D-glycerate	At_71C2	0
D-glycerate	At_71C3	0
D-glycerate	At_71C4	0
D-glycerate	At_71C5	0
D-glycerate	At_71B8	0
D-glycerate	At_71B6	0
D-glycerate	At_71B5	0
D-glycerate	At_71B1	0
D-glycerate	At_88A1	0
D-glycerate	At_72E2	0
D-glycerate	At_72E3	0
D-glycerate	At_72E1	0
D-glycerate	At_72D1	0
D-glycerate	At_72C1	0
D-glycerate	At_72B3	0
D-glycerate	At_72B1	0
D-glycerate	At_73C3	0
D-glycerate	At_73C4	0
D-glycerate	At_73C5	0
D-glycerate	At_73C6	0
D-glycerate	At_73C1	0
D-glycerate	At_73B2	0
D-glycerate	At_73B3	0
D-glycerate	At_73B4	0
D-glycerate	At_73B5	0
D-glycerate	At_73B1	0
D-glycerate	At_89B1	0
D-glycerate	At_89C1	0
D-glycerate	At_84A3	0
D-glycerate	At_84A4	0
D-glycerate	At_84A2	0
D-glycerate	At_84A1	0
D-glycerate	At_84B1	0
D-glycerate	At_84B2	0
D-glycerate	At_75B1	0
D-glycerate	At_75D1	0
D-glycerate	At_74F1	0
D-glycerate	At_74F2	0
D-glycerate	At_74B1	0
D-glycerate	At_76E4	0
D-glycerate	At_76E1	0
D-glycerate	At_76E2	0
D-glycerate	At_76E12	0
D-glycerate	At_76E11	0
D-glycerate	At_85A5	0
D-glycerate	At_85A4	0
D-glycerate	At_78D2	0
D-glycerate	At_78D1	0
D-glycerate	VVGT1	0
GlcNAc	At_71C1	0
GlcNAc	At_71C2	0
GlcNAc	At_71C3	0
GlcNAc	At_71C4	0
GlcNAc	At_71C5	0
GlcNAc	At_71B8	0
GlcNAc	At_71B6	0
GlcNAc	At_71B5	0
GlcNAc	At_71B1	0
GlcNAc	At_88A1	0
GlcNAc	At_72E2	0
GlcNAc	At_72E3	0
GlcNAc	At_72E1	0
GlcNAc	At_72D1	0
GlcNAc	At_72C1	0
GlcNAc	At_72B3	0
GlcNAc	At_72B1	0
GlcNAc	At_73C3	0
GlcNAc	At_73C4	0
GlcNAc	At_73C5	0
GlcNAc	At_73C6	0
GlcNAc	At_73C1	0
GlcNAc	At_73B2	0
GlcNAc	At_73B3	0
GlcNAc	At_73B4	0
GlcNAc	At_73B5	0
GlcNAc	At_73B1	0
GlcNAc	At_89B1	0
GlcNAc	At_89C1	0
GlcNAc	At_84A3	0
GlcNAc	At_84A4	0
GlcNAc	At_84A2	0
GlcNAc	At_84A1	0
GlcNAc	At_84B1	0
GlcNAc	At_84B2	0
GlcNAc	At_75B1	0
GlcNAc	At_75D1	0
GlcNAc	At_74F1	0
GlcNAc	At_74F2	0
GlcNAc	At_74B1	0
GlcNAc	At_76E4	0
GlcNAc	At_76E1	0
GlcNAc	At_76E2	0
GlcNAc	At_76E12	0
GlcNAc	At_76E11	0
GlcNAc	At_85A5	0
GlcNAc	At_85A4	0
GlcNAc	At_78D2	0
GlcNAc	At_78D1	0
GlcNAc	VVGT1	0
Indole 3-acetate	At_71C1	0
Indole 3-acetate	At_71C2	0
Indole 3-acetate	At_71C3	0
Indole 3-acetate	At_71C4	0
Indole 3-acetate	At_71C5	0
Indole 3-acetate	At_71B8	0
Indole 3-acetate	At_71B6	0
Indole 3-acetate	At_71B5	0
Indole 3-acetate	At_71B1	0
Indole 3-acetate	At_88A1	0
Indole 3-acetate	At_72E2	0
Indole 3-acetate	At_72E3	0
Indole 3-acetate	At_72E1	0
Indole 3-acetate	At_72D1	0
Indole 3-acetate	At_72C1	0
Indole 3-acetate	At_72B3	0
Indole 3-acetate	At_72B1	0
Indole 3-acetate	At_73C3	0
Indole 3-acetate	At_73C4	0
Indole 3-acetate	At_73C5	0
Indole 3-acetate	At_73C6	0
Indole 3-acetate	At_73C1	0
Indole 3-acetate	At_73C7	0
Indole 3-acetate	At_73B2	0
Indole 3-acetate	At_73B3	0
Indole 3-acetate	At_73B4	0
Indole 3-acetate	At_73B5	0
Indole 3-acetate	At_73B1	0
Indole 3-acetate	At_89B1	0.5
Indole 3-acetate	At_89C1	0
Indole 3-acetate	At_84A3	0
Indole 3-acetate	At_84A4	0
Indole 3-acetate	At_84A2	1
Indole 3-acetate	At_84A1	1
Indole 3-acetate	At_84B1	1
Indole 3-acetate	At_84B2	1
Indole 3-acetate	At_75B1	1
Indole 3-acetate	At_75D1	0
Indole 3-acetate	At_74F1	0
Indole 3-acetate	At_74F2	1
Indole 3-acetate	At_74B1	0
Indole 3-acetate	At_76E5	0
Indole 3-acetate	At_76E4	0
Indole 3-acetate	At_76E1	0.5
Indole 3-acetate	At_76E2	0
Indole 3-acetate	At_76E12	0
Indole 3-acetate	At_76E11	0
Indole 3-acetate	At_76C4	0
Indole 3-acetate	At_85A5	0
Indole 3-acetate	At_85A4	0
Indole 3-acetate	At_78D2	0
Indole 3-acetate	At_78D1	0
Indole 3-acetate	VVGT1	0
Gibberellin A3	At_71C1	0
Gibberellin A3	At_71C2	0
Gibberellin A3	At_71C3	0
Gibberellin A3	At_71C4	0
Gibberellin A3	At_71C5	0
Gibberellin A3	At_71B8	0
Gibberellin A3	At_71B6	0
Gibberellin A3	At_71B5	0
Gibberellin A3	At_71B1	0
Gibberellin A3	At_88A1	0
Gibberellin A3	At_72E2	0
Gibberellin A3	At_72E3	0
Gibberellin A3	At_72E1	0
