cid	enzyme	reaction	nMetabInESP	pred_ESP
11782	Zm_85854	0	0	0.5408929
11782	Gm_88E3	0	0	0.32988977
11782	Zm_72068	0	0	0.6175173
11782	Lc_72B10	0	0	0.4653604
681	Nt_UGT1	0	6	0.0937123
681	Pt_UGT1	0	6	0.3188448
681	At_72B1	0	6	0.109798536
681	At_72E2	0	6	0.07283455
681	Mt_71G1	0	6	0.19352466
5281855	Nt_UGT1	0	0	0.071470775
5281855	Pt_UGT1	0	0	0.10085736
5281855	At_72B1	0	0	0.10860002
5281855	At_72E2	0	0	0.036055375
5281855	Mt_71G1	0	0	0.17262526
5281855	Mt_78G1	0	0	0.021352619
72276	Nt_UGT1	0	0	0.19613467
72276	Pt_UGT1	0	0	0.053547733
72276	At_72B1	0	0	0.20527282
72276	At_72E2	0	0	0.16699769
72276	Mt_71G1	0	0	0.35506392
72276	Mt_78G1	0	0	0.12792744
107905	UGT73A17	1	0	0.13199851
356759	Nt_UGT1	0	0	0.1364939
356759	Pt_UGT1	0	0	0.19976838
356759	At_72B1	0	0	0.26910052
356759	At_72E2	0	0	0.20319928
356759	Mt_71G1	0	0	0.33624446
356759	Mt_78G1	0	0	0.39079964
8434	Nt_UGT1	0	0	0.10171992
8434	Pt_UGT1	0	0	0.12621827
8434	At_72B1	0	0	0.15302664
8434	At_72E2	0	0	0.108449906
8434	Mt_71G1	0	0	0.13261525
8434	Mt_78G1	0	0	0.035326075
12426239	Nt_UGT1	0	0	0.004598947
12426239	Pt_UGT1	0	0	0.004171092
12426239	At_72B1	0	0	0.020917872
12426239	At_72E2	0	0	0.00857068
12426239	Mt_71G1	0	0	0.03985076
12426239	Mt_78G1	0	0	0.0037745868
3314	Nt_UGT1	1	0	0.25917098
3314	Pt_UGT1	0	0	0.28954697
3314	At_72B1	1	0	0.24655718
3314	At_72E2	1	0	0.322753
3314	Mt_71G1	0	0	0.4067908
3314	Mt_78G1	0	0	0.12800813
3314	PpUGT85A2	1	0	0.21373574
398789	Nt_UGT1	0	0	0.06250495
398789	Pt_UGT1	0	0	0.07982317
398789	At_72B1	0	0	0.037041225
398789	At_72E2	0	0	0.010416706
398789	Mt_71G1	0	0	0.09219115
398789	Mt_78G1	0	0	0.03390664
445858	Nt_UGT1	0	1	0.09592638
445858	Pt_UGT1	0	1	0.11565153
445858	At_72B1	0	1	0.1391097
445858	Mt_71G1	0	1	0.10751681
445858	Mt_78G1	0	1	0.08350489
47936	Fe_88J1	0	0	0.033029668
47936	Zm_15991	0	0	0.012267704
47936	Fe_72B19	0	0	0.023721186
47936	Ct_71E5	0	0	0.017496863
47936	Zm_51683	0	0	0.027240682
47936	Os_88C1	0	0	0.015027652
47936	Zm_43295	0	0	0.13824193
47936	Dc_71F5	0	0	0.12028941
47936	Rc_GT1	0	0	0.030693898
47936	Sl_GT5	0	0	0.06189209
47936	Fi_88A10	0	0	0.15008654
47936	At_71D1	0	0	0.06265499
47936	At_71C1	0	0	0.012738297
47936	Zm_62783	0	0	0.0057436093
47936	Zm_85854	0	0	0.010434934
47936	Gm_88E3	0	0	0.013468035
47936	Zm_72068	0	0	0.060021248
47936	Lc_72B10	0	0	0.08586652
47936	Nt_UGT1	0	0	0.01918669
47936	Pt_UGT1	0	0	0.0033833731
47936	At_72B1	0	0	0.005755423
47936	At_72E2	0	0	0.02237267
47936	Mt_71G1	0	0	0.10448848
47936	Mt_78G1	0	0	0.023295157
143754	Fe_88J1	0	0	0.13867505
143754	Zm_15991	0	0	0.33138108
143754	Fe_72B19	0	0	0.07699821
143754	Ct_71E5	0	0	0.19317147
143754	Zm_51683	0	0	0.2696403
143754	Os_88C1	0	0	0.47082964
143754	Zm_43295	0	0	0.5469539
143754	Dc_71F5	0	0	0.4595413
143754	Rc_GT1	0	0	0.43357357
143754	Sl_GT5	0	0	0.3902199
143754	Fi_88A10	0	0	0.38588485
143754	At_71D1	0	0	0.57439893
143754	At_71C1	0	0	0.3333839
143754	Zm_62783	0	0	0.25749388
143754	Zm_85854	0	0	0.1690731
143754	Gm_88E3	0	0	0.13687772
143754	Zm_72068	0	0	0.15120558
143754	Lc_72B10	0	0	0.5097229
19309	UGT85K14	1	0	0.02255027
19309	UGT74B6	0	0	0.089458235
19309	UGT712E1	0	0	0.041187093
5280961	Fe_88J1	1	0	0.023411036
5280961	Zm_15991	0	0	0.020076135
5280961	Fe_72B19	0	0	0.009206086
5280961	Ct_71E5	0	0	0.016194027
5280961	Zm_51683	0	0	0.04402232
5280961	Os_88C1	0	0	0.023939472
5280961	Zm_43295	0	0	0.08661343
5280961	Dc_71F5	0	0	0.04251965
5280961	Rc_GT1	1	0	0.013754612
5280961	Sl_GT5	0	0	0.08081807
5280961	Fi_88A10	0	0	0.02477093
5280961	At_71C1	0	0	0.03253819
5280961	At_71C1	1	0	0.03253819
5280961	Zm_62783	1	0	0.058146704
5280961	Zm_85854	0	0	0.039916586
5280961	Gm_88E3	1	0	0.03980663
5280961	Zm_72068	1	0	0.09593974
5280961	Lc_72B10	0	0	0.020655926
5280961	Nt_UGT1	0	0	0.01792217
5280961	Pt_UGT1	0	0	0.012887038
5280961	At_72B1	0	0	0.021418478
5280961	At_72E2	0	0	0.071348965
5280961	Mt_71G1	0	0	0.07040051
5280961	TwUGT2	0	0	0.022476401
5280961	ApUFGT1	1	0	0.025130566
5280961	ApUFGT2	1	0	0.0035373296
5280961	ApUFGT3	1	0	0.005022365
5280961	UGT73A17	1	0	0.011225274
637566	Fe_88J1	0	1	0.06682648
637566	Zm_15991	0	1	0.038299996
637566	Fe_72B19	0	1	0.18771128
637566	Ct_71E5	0	1	0.22949596
637566	Zm_51683	0	1	0.08213622
637566	Os_88C1	0	1	0.109574154
637566	Zm_43295	0	1	0.3325827
637566	Rc_GT1	0	1	0.105799936
637566	Sl_GT5	0	1	0.21510975
637566	Fi_88A10	0	1	0.08204888
637566	At_71D1	0	1	0.22472829
637566	At_71C1	0	1	0.08139886
637566	Zm_62783	0	1	0.11437642
637566	Zm_85854	0	1	0.12410901
637566	Gm_88E3	0	1	0.1119762
637566	Zm_72068	0	1	0.27348393
637566	Lc_72B10	0	1	0.14742664
637566	Nt_UGT1	0	1	0.13634218
637566	Pt_UGT1	0	1	0.12530477
637566	At_72B1	0	1	0.20228297
637566	At_72E2	0	1	0.22108945
637566	Mt_71G1	0	1	0.30758888
637566	Mt_78G1	0	1	0.12833698
637566	PpUGT85A2	1	1	0.2470782
442793	Fe_88J1	0	0	0.14707004
442793	Zm_15991	0	0	0.05270002
442793	Fe_72B19	0	0	0.0389328
442793	Ct_71E5	0	0	0.056830734
442793	Zm_51683	0	0	0.07580042
442793	Os_88C1	0	0	0.069241025
442793	Zm_43295	0	0	0.16061763
442793	Dc_71F5	0	0	0.31667185
442793	Rc_GT1	0	0	0.16158679
442793	Sl_GT5	0	0	0.1452496
442793	Fi_88A10	0	0	0.14990562
442793	At_71D1	0	0	0.09229762
442793	Zm_62783	0	0	0.06779228
442793	Zm_85854	0	0	0.12844439
442793	Gm_88E3	0	0	0.05139987
442793	Zm_72068	0	0	0.12772356
442793	Lc_72B10	0	0	0.08331158
65243	Nt_UGT1	0	0	0.008575912
65243	Pt_UGT1	0	0	0.055936057
65243	At_72B1	0	0	0.027984666
65243	At_72E2	0	0	0.03640101
65243	Mt_71G1	0	0	0.023423053
65243	Mt_78G1	0	0	0.014546751
3001686	Nt_UGT1	0	0	0.13873999
3001686	Pt_UGT1	0	0	0.09571583
3001686	At_72B1	0	0	0.18161322
3001686	At_72E2	0	0	0.2703087
3001686	Mt_71G1	0	0	0.4904347
3001686	Mt_78G1	0	0	0.38139537
227829	Nt_UGT1	0	0	0.07202424
227829	Pt_UGT1	0	0	0.24136503
227829	At_72B1	0	0	0.208775
227829	At_72E2	0	0	0.39496017
227829	Mt_71G1	0	0	0.57183295
227829	Mt_78G1	0	0	0.27976027
114840	Nt_UGT1	0	0	0.0024130647
114840	Pt_UGT1	0	0	0.009705707
114840	At_72B1	0	0	0.0038875833
114840	At_72E2	0	0	0.01446672
114840	Mt_71G1	0	0	0.018705985
114840	Mt_78G1	0	0	0.010617075
12310492	Nt_UGT1	0	0	0.0053972946
12310492	Pt_UGT1	0	0	0.012042553
12310492	At_72B1	0	0	0.010625768
12310492	At_72E2	0	0	0.01907907
12310492	Mt_71G1	0	0	0.03851639
12310492	Mt_78G1	0	0	0.040999684
33931	UGT85K14	1	0	0.04349357
780	UGT71L2	0	6	0.04452861
285033	Nt_UGT1	0	0	0.0005309479
285033	Pt_UGT1	0	0	0.0014757372
285033	At_72B1	0	0	0.0011505964
285033	At_72E2	0	0	0.012292841
285033	Mt_71G1	0	0	0.020310111
285033	Mt_78G1	0	0	0.030398829
1738	Fe_88J1	0	0	0.093375295
1738	Zm_15991	0	0	0.04734776
1738	Fe_72B19	0	0	0.27196702
1738	Ct_71E5	0	0	0.1480402
1738	Zm_51683	0	0	0.08268535
1738	Os_88C1	0	0	0.09738505
1738	Zm_43295	0	0	0.3910829
1738	Dc_71F5	0	0	0.4043302
1738	Rc_GT1	0	0	0.14164871
1738	Sl_GT5	0	0	0.395655
1738	Fi_88A10	0	0	0.321084
1738	At_71D1	0	0	0.24782392
1738	At_71C1	0	0	0.06643336
1738	Zm_62783	0	0	0.025515353
1738	Zm_85854	0	0	0.16210335
1738	Gm_88E3	0	0	0.1650603
1738	Zm_72068	0	0	0.2515814
1738	Lc_72B10	0	0	0.16158563
1738	Nt_UGT1	0	0	0.23060471
1738	Pt_UGT1	0	0	0.17362866
1738	At_72B1	0	0	0.19907664
1738	At_72E2	0	0	0.19455741
1738	Mt_71G1	0	0	0.35895625
1738	Mt_78G1	0	0	0.17652932
72303	Nt_UGT1	0	0	0.1023116
72303	Pt_UGT1	0	0	0.09910457
72303	At_72B1	0	0	0.11263626
72303	At_72E2	0	0	0.1956267
72303	Mt_71G1	0	0	0.3635299
72303	Mt_78G1	0	0	0.17574704
5366264	Nt_UGT1	0	0	0.28874657
5366264	Pt_UGT1	0	0	0.21932814
5366264	At_72B1	0	0	0.3802161
5366264	At_72E2	0	0	0.44481266
5366264	Mt_71G1	0	0	0.46887213
5366264	Mt_78G1	0	0	0.22667253
854026	Nt_UGT1	0	0	0.06286347
854026	Pt_UGT1	0	0	0.0334917
