enzyme	source	reaction	cid
At_85A4	GT-Predict	0	689043
At_78D2	GT-Predict	1	689043
At_78D1	GT-Predict	0	689043
VVGT1	GT-Predict	1	689043
UGT71G1	GT-Predict extensions	1	689043
UGT78G1	GT-Predict extensions	1	689043
UGT72B10	GT-Predict extensions	1	689043
UGT74P1	GT-Predict extensions	0	689043
UGT73A10	GT-Predict extensions	1	689043
UGT74N1	GT-Predict extensions	0	689043
UGT75L2	GT-Predict extensions	1	689043
UGT85A20	GT-Predict extensions	1	689043
UGT73Q1	GT-Predict extensions	0	689043
UGT73A12	GT-Predict extensions	1	689043
UGT86A5	GT-Predict extensions	0	689043
UGT94E2	GT-Predict extensions	0	689043
UGT84C2	GT-Predict extensions	1	689043
UGT85B2	GT-Predict extensions	0	689043
UGT74H5	GT-Predict extensions	1	689043
UGT88C4	GT-Predict extensions	0	689043
UGT74H6	GT-Predict extensions	0	689043
UGT75E3	GT-Predict extensions	1	689043
UGT72AY1	https://doi.org/10.1104/pp.20.00953	1	91747288
UGT73A24	https://doi.org/10.1104/pp.20.00953	1	91747288
UGT73A25	https://doi.org/10.1104/pp.20.00953	1	91747288
UGT71L2	https://doi.org/10.1093/jxb/eraa562	0	637541
UGT72AY1	https://doi.org/10.1104/pp.20.00953	1	5370052
UGT73A24	https://doi.org/10.1104/pp.20.00953	1	5370052
UGT73A25	https://doi.org/10.1104/pp.20.00953	1	5370052
UGT85A73	https://doi.org/10.1104/pp.20.00953	0	5370052
At_71C1	GT-Predict	0	637541
At_71C2	GT-Predict	0	637541
At_71C3	GT-Predict	0	637541
At_71C5	GT-Predict	0	637541
At_71B6	GT-Predict	0	637541
At_71B5	GT-Predict	0	637541
At_71B1	GT-Predict	0	637541
At_88A1	GT-Predict	0	637541
At_72E2	GT-Predict	1	637541
At_72C1	GT-Predict	0	637541
At_72B3	GT-Predict	0	637541
At_72B1	GT-Predict	0	637541
At_73C3	GT-Predict	0	637541
At_73C4	GT-Predict	0	637541
At_73C5	GT-Predict	0	637541
At_73C6	GT-Predict	0	637541
At_73C1	GT-Predict	0	637541
At_73C7	GT-Predict	0	637541
At_73B2	GT-Predict	0	637541
At_73B3	GT-Predict	0	637541
At_73B4	GT-Predict	0	637541
At_73B5	GT-Predict	0	637541
At_73B1	GT-Predict	0	637541
At_89C1	GT-Predict	0	637541
At_84A3	GT-Predict	0	637541
At_84A4	GT-Predict	0	637541
At_84A2	GT-Predict	0	637541
At_84A1	GT-Predict	0	637541
At_84B1	GT-Predict	0	637541
At_84B2	GT-Predict	0	637541
At_75B1	GT-Predict	1	637541
At_74F2	GT-Predict	0	637541
At_74B1	GT-Predict	0	637541
At_76E5	GT-Predict	0	637541
At_76E2	GT-Predict	0	637541
At_76E12	GT-Predict	0	637541
At_76E11	GT-Predict	0	637541
At_76C4	GT-Predict	0	637541
At_85A5	GT-Predict	0	637541
At_85A4	GT-Predict	0	637541
At_78D2	GT-Predict	0	637541
At_78D1	GT-Predict	0	637541
VVGT1	GT-Predict	0	637541
UGT71G1	GT-Predict extensions	0	637541
UGT78G1	GT-Predict extensions	0	637541
UGT72B10	GT-Predict extensions	0	637541
UGT74P1	GT-Predict extensions	0	637541
