cid	enzyme	Yield
70775	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	24
83651	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
780	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5281343	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	7
54679630	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
12820	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
5319502	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5354284	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
689075	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	4
238398	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
155240	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
4947	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
220295	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
91469	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
6255462	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
45382232	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	2
5413034	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5398649	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	0
5318650	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
5284649	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
5281222	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	8
5280448	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	3
5320315	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	46
5281787	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	14
73571	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	1
440735	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	16
122850	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	14
5281628	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	51
5281811	BAK55736.1 UDP-glucose glucosyltransferase [Gardenia jasminoides]	15
