cid	smiles
932	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
54675769	CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O
72493	CC1CC(C(C(O1)OC2C(CC3(CO3)C(=O)C(C(C(C(OC(=O)C(C(C2C)OC4CC(C(C(O4)C)O)OC)C)C)C)O)C)C)O)N(C)C
4592	CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3
5320315	COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O
996	C1=CC=C(C=C1)O
4788	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
68071	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
5280343	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
445154	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
5146	C1=CC=C(C(=C1)CO)O
12731045	C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2O
6998	C1=CC=C(C(=C1)C=O)O
68289	C1OC2=C(O1)C=C(C=C2)O
31553	COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
637775	COC1=CC(=CC(=C1O)OC)C=CC(=O)O
10742	COC1=CC(=CC(=C1O)OC)C(=O)O
7041	COC1=C(C(=CC=C1)OC)O
6989	CC1=CC(=C(C=C1)C(C)C)O
439533	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
5281701	C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
5564	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
173273	CC(C)C1=C(C2=C(C=C1)C3(CCC4=C(C3CC2)COC4=O)C)O
5281426	C1=CC(=CC2=C1C=CC(=O)O2)O
5281703	COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
65090	C1=CC(=O)OC2=C(C3=C(C=CO3)C=C21)O
449093	CC(=CCNC1=NC=NC2=C1NC=N2)CO
5328791	C1=CC(=CC=C1C=C(C#N)C(=O)O)O
220184	C1=CC=C(C=C1)CC(=O)NO
3295299	C1=CC=C(C=C1)CC(=S)NO
4118131	C1=CC=C(C=C1)CCC(=O)NO
102334912	C1=CC=C(C=C1)CCC(=S)NO
7969	C1=CC=C(C=C1)S
5363817	CC1=CCCC(C1C=CC(C)O)(C)C
17100	CC1=CCC(CC1)C(C)(C)O
5373729	CC1=C(C(CCC1)(C)C)C=CC(C)O
5484169	CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NO
5375469	CC1=C(C=C(C=C1[N+](=O)[O-])NO)[N+](=O)[O-]
21932272	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC=C(C=C3)O)O)O)O
90657995	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC(=C(C=C3)O)O)O)O)O
21611827	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC=CC=C3)O)O)O
68146761	C1=CC=C(C=C1)C(=O)C=CC2C(C=C(C=C2O)O)O
77093	C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2O)O)O
42607887	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC=CC=C3)O)O)O
689111	C1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2O)O)O
68073	CC(=O)C1=C(C=C(C=C1O)O)O
68099	C1=C(C=C(C(=C1O)C=O)O)O
68213	C1=CC(=C(C=C1C(=O)C2=C(C=C(C=C2O)O)O)O)O
5281656	C1=C(C=C2C(=C1O)C(=O)C3=CC(=C(C=C3O2)O)O)O
129320322	C1C(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)OC1(C4=CC=C(C=C4)O)O
21722188	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O
6072	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O
34231	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O
5327038	CCCCCCCCCCCCCCCC(=O)OC(COC1C(C(C(C(O1)CO)O)O)O)COC(=O)CCCCCCCCCCCC
101763507	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)O)O)NC(=O)C4=C(C(=CC(=C4)C5C(C(C(C(O5)CO)O)O)O)O)O)NC(=O)C6=C(C(=CC=C6)O)O
