enzyme	rate	source	reaction	cid	acceptor
At_74F2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_84A3		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_84A4		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_84B1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_84A2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_84A1		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_75B1		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
UGT71G1		GT-Predict extensions	1	3469	2,5-Dihydroxybenzoic acid
UGT78G1		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
OleD		GT-Predict extensions	1	3469	2,5-Dihydroxybenzoic acid
UGT72B10		GT-Predict extensions	1	3469	2,5-Dihydroxybenzoic acid
UGT74P1		GT-Predict extensions	1	3469	2,5-Dihydroxybenzoic acid
UGT73A10		GT-Predict extensions	1	3469	2,5-Dihydroxybenzoic acid
UGT74N1		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT75L2		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT85A20		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT73Q1		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT73A12		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT86A5		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT94E2		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT84C2		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT85B2		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT74H5		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT88C4		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT74H6		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT75E3		GT-Predict extensions	0	3469	2,5-Dihydroxybenzoic acid
UGT71L2		https://doi.org/10.1093/jxb/eraa562	1	6997	2-Ethylphenol
UGT71L2	5.32	https://doi.org/10.1093/jxb/eraa562	1	637540	2-Hydroxycinnamic acid
UGT71L2		https://doi.org/10.1093/jxb/eraa562	0	271816	2-Hydroxycyclohexanecarboxylic acid
UGT71L2		https://doi.org/10.1093/jxb/eraa562	0	11970	2-Hydroxyphenylacetic acid
At_73C4		GT-Predict	0	5280567	Hymecromone
At_78D1		GT-Predict	0	5280567	Hymecromone
At_76E5		GT-Predict	0	5280567	Hymecromone
At_73C7		GT-Predict	0	5280567	Hymecromone
At_73B2		GT-Predict	0	5280567	Hymecromone
At_76C4		GT-Predict	0	5280567	Hymecromone
At_72E1		GT-Predict	0	5280567	Hymecromone
At_89C1		GT-Predict	0	5280567	Hymecromone
At_85A5		GT-Predict	0	5280567	Hymecromone
At_85A4		GT-Predict	0	5280567	Hymecromone
At_71B8		GT-Predict	0	5280567	Hymecromone
At_76E4		GT-Predict	0	5280567	Hymecromone
At_76E2		GT-Predict	0.5	5280567	Hymecromone
At_76E1		GT-Predict	0	5280567	Hymecromone
At_71C5		GT-Predict	1	5280567	Hymecromone
At_72B3		GT-Predict	1	5280567	Hymecromone
At_76E11		GT-Predict	1	5280567	Hymecromone
At_75D1		GT-Predict	0	5280567	Hymecromone
At_72C1		GT-Predict	0	5280567	Hymecromone
At_72B1		GT-Predict	1	5280567	Hymecromone
At_84B2		GT-Predict	0	5280567	Hymecromone
At_71C1		GT-Predict	0	5280567	Hymecromone
At_71C2		GT-Predict	0.5	5280567	Hymecromone
At_89B1		GT-Predict	0	5280567	Hymecromone
At_74F1		GT-Predict	0	5280567	Hymecromone
At_72E2		GT-Predict	0	5280567	Hymecromone
At_72E3		GT-Predict	0	5280567	Hymecromone
At_71C3		GT-Predict	0	5280567	Hymecromone
At_71C4		GT-Predict	0	5280567	Hymecromone
At_71B1		GT-Predict	1	5280567	Hymecromone
At_73B3		GT-Predict	1	5280567	Hymecromone
At_78D2		GT-Predict	1	5280567	Hymecromone
At_71B6		GT-Predict	0.5	5280567	Hymecromone
At_73B1		GT-Predict	1	5280567	Hymecromone
At_71B5		GT-Predict	0	5280567	Hymecromone
At_88A1		GT-Predict	1	5280567	Hymecromone
At_73C3		GT-Predict	1	5280567	Hymecromone
At_73B5		GT-Predict	0	5280567	Hymecromone
At_76E12		GT-Predict	1	5280567	Hymecromone
VVGT1		GT-Predict	1	5280567	Hymecromone
At_72D1		GT-Predict	1	5280567	Hymecromone
At_74B1		GT-Predict	0.5	5280567	Hymecromone
At_73C5		GT-Predict	1	5280567	Hymecromone
At_73C6		GT-Predict	1	5280567	Hymecromone
At_73C1		GT-Predict	1	5280567	Hymecromone
At_73B4		GT-Predict	1	5280567	Hymecromone
At_74F2		GT-Predict	1	5280567	Hymecromone
At_84A3		GT-Predict	1	5280567	Hymecromone
At_84A4		GT-Predict	0	5280567	Hymecromone
At_84B1		GT-Predict	1	5280567	Hymecromone
At_84A2		GT-Predict	1	5280567	Hymecromone
At_84A1		GT-Predict	1	5280567	Hymecromone
At_75B1		GT-Predict	1	5280567	Hymecromone
PpUGT85A2	1.613	https://doi.org/10.1093/jxb/ery419	1	6054	2-Phenylethanol
At_73C4		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_78D1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_76E5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73C7		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73B2		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_76C4		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_72E1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_89C1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_85A5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_85A4		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_71B8		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_76E4		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_76E2		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_76E1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_71C5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_72B3		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_76E11		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_75D1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_72C1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_72B1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_84B2		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_71C1		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_71C2		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_89B1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_74F1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_72E2		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_72E3		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_71C3		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_71C4		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_71B1		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_73B3		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_78D2		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_71B6		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73B1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_71B5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_88A1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73C3		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73B5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_76E12		GT-Predict	0	637540	2-Hydroxycinnamic acid
VVGT1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_72D1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_74B1		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_73C5		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73C6		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73C1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_73B4		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_74F2		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_84A3		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_84A4		GT-Predict	0.5	637540	2-Hydroxycinnamic acid
At_84B1		GT-Predict	0	637540	2-Hydroxycinnamic acid
At_84A2		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_84A1		GT-Predict	1	637540	2-Hydroxycinnamic acid
At_75B1		GT-Predict	1	637540	2-Hydroxycinnamic acid
UGT71G1		GT-Predict extensions	1	637540	2-Hydroxycinnamic acid
UGT78G1		GT-Predict extensions	0	637540	2-Hydroxycinnamic acid
OleD		GT-Predict extensions	0	637540	2-Hydroxycinnamic acid
UGT72B10		GT-Predict extensions	1	637540	2-Hydroxycinnamic acid
UGT74P1		GT-Predict extensions	0	637540	2-Hydroxycinnamic acid
UGT73A10		GT-Predict extensions	1	637540	2-Hydroxycinnamic acid
