smiles	fromCID	replacement
CC(C)=CCCC(C)=CCCl	637566	Cl
COCC=C(C)CCC=C(C)C	637566	OMe
CC(=O)OCC=C(C)CCC=C(C)C	637566	OAc
COC(=O)C=Cc1cc(OC)cc(OC)c1	637775	H
COC(=O)C=Cc1cc(OC)c(F)c(OC)c1	637775	F
COC(=O)C=Cc1cc(OC)c(Cl)c(OC)c1	637775	Cl
COC(=O)C=Cc1cc(OC)c(OC)c(OC)c1	637775	OMe
COC(=O)C=Cc1cc(OC)c(OC(C)=O)c(OC)c1	637775	OAc
COC(=O)C=Cc1ccccc1	689043	H
COC(=O)C=Cc1ccc(F)cc1	689043	F
COC(=O)C=Cc1cccc(Cl)c1	689043	Cl
COC(=O)C=Cc1ccc(OC)cc1	689043	OMe
COC(=O)C=Cc1cccc(OC(C)=O)c1	689043	OAc
O=C(Cc1ccccc1)c1ccccc1	689111	H
O=C(Cc1ccccc1)c1ccccc1F	689111	F
O=C(Cc1ccccc1)c1ccccc1Cl	689111	Cl
COc1ccccc1C(=O)Cc1ccccc1	689111	OMe
CC(=O)Oc1ccc(C(=O)Cc2ccccc2)cc1	689111	OAc
CC=Cc1cccc(OC)c1	1549095	H
CC=Cc1ccc(F)c(OC)c1	1549095	F
COc1cccc(C=CCCl)c1	1549095	Cl
CC=Cc1ccc(OC)c(OC)c1	1549095	OMe
CC=Cc1ccc(OC(C)=O)c(OC)c1	1549095	OAc
FC(F)(F)c1cccc(Cl)c1	2736603	H
Fc1ccc(C(F)(F)F)cc1Cl	2736603	F
FC(F)(F)c1ccc(Cl)c(Cl)c1	2736603	Cl
COc1ccc(C(F)(F)F)cc1Cl	2736603	OMe
CC(=O)Oc1ccc(C(F)(F)F)cc1Cl	2736603	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5280343	H
O=c1cc(-c2cccc(F)c2)oc2ccccc12	5280343	F
O=c1cc(-c2ccc(Cl)cc2)oc2ccccc12	5280343	Cl
COc1cccc2oc(-c3ccccc3)cc(=O)c12	5280343	OMe
CC(=O)Oc1cccc2oc(-c3ccccc3)cc(=O)c12	5280343	OAc
O=c1ccc2cc3ccoc3cc2o1	5280371	H
O=c1ccc2c(F)c3ccoc3cc2o1	5280371	F
O=c1ccc2c(Cl)c3ccoc3cc2o1	5280371	Cl
COc1c2ccoc2cc2oc(=O)ccc12	5280371	OMe
CC(=O)Oc1c2ccoc2cc2oc(=O)ccc12	5280371	OAc
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280442	H
COc1ccc(-c2cc(=O)c3c(F)cccc3o2)cc1	5280442	F
COc1ccc(-c2cc(=O)c3c(Cl)cccc3o2)cc1	5280442	Cl
COc1ccc(-c2cc(=O)c3c(OC)cccc3o2)cc1	5280442	OMe
COc1ccc(-c2cc(=O)c3ccc(OC(C)=O)cc3o2)cc1	5280442	OAc
O=c1cc(-c2ccccc2)oc2ccccc12	5280443	H
O=c1cc(-c2ccccc2)oc2cc(F)ccc12	5280443	F
O=c1cc(-c2ccccc2)oc2cc(Cl)ccc12	5280443	Cl
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280443	OMe
CC(=O)Oc1ccc(-c2cc(=O)c3ccccc3o2)cc1	5280443	OAc
